Unnamed: 0,ID,subject,phenomenon,sub_subject,Correct sentence,Wrong sentence,Label,URL,Generated,cor score,wrong score,difference,GPT_diff,Llama2_diff,Llama2_chat_diff,GEITje_diff,GEITje_chat_diff,GEITje_DPO_diff,RobBERT_diff,RobBERT_large_diff,XLMRoberta_diff,BERTje_diff,GPT_GroNLP_diff,GEITje_sft_diff
0,1,naamwoordelijke_constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De maan schijnt.,Er schijnt een maan.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140301lingtopic,ANS,6.25,5.25,1.0,1.55412426590919,0.0848653453285806,0.720487524356161,0.189025654224679,0.222736948361022,0.0562756567129066,0.350756122952415,-3.78392767054694,-1.03056040918475,-0.934645532674732,-0.166339198748271,0.0842605036700013
1,1,naamwoordelijke_constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De zon schijnt.,Er schijnt een zon.,,,Manual,6.95,5.0,1.95,2.12307185928027,0.678669895847893,0.592758638518197,0.733299557934515,0.352972255637204,0.604520934114199,0.665534677959624,-2.50098327228001,-0.296273476933392,-0.672803395477656,1.04782785971959,0.563783791252977
2,1,naamwoordelijke_constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De aarde is bol.,Een aarde is bol.,,,Manual,5.0875,2.875,2.2125000000000004,2.02398493885994,2.14726636807124,1.42157898346583,1.09594074601219,0.589570127782368,0.708702072501183,0.818579265049525,1.51530402047294,0.030689000399434,3.14692873055381,1.35440298914909,0.675573683920361
3,1,naamwoordelijke_constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De sahara is erg heet.,Een sahara is erg heet.,,,Manual,6.25,2.6,3.65,0.333192804030009,1.09038552222773,-0.0492469542659819,0.0725881764665246,0.307492046984209,-0.068666359570555,0.468386936187743,0.648764944076538,-0.283189614405273,0.035371508449316,0.289186034883771,-0.0423494290962649
4,1,naamwoordelijke_constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De Eiffeltoren staat in Parijs.,Er staat een Eiffeltoren in Parijs.,,,Chat-GPT,6.875,2.8,4.075,0.985183310508728,0.895296127835702,0.867268105986031,0.688373378747863,0.529576086146831,0.461678118513549,0.435603141784668,0.975477790708696,0.277710558650804,0.879568269534503,0.170672216569073,0.455743079296636
5,1,naamwoordelijke_constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De Mona Lisa hangt in het Louvre.,Er hangt een Mona Lisa in het Louvre,,,Chat-GPT,6.625,2.5,4.125,0.1227011308074,0.513082757592201,0.657978518696671,0.801733574491333,1.16474942434103,0.772300535447853,0.617455005645752,-3.41673215382021,-0.768083545168338,0.70309352207696,0.367694988314594,0.856013463958251
6,2,naamwoordelijke_constituent,2. Nominalizations,Nominalisaties behorend tot type 1,De terechtstelling van de misdadiger (was afschrikwekkend.),De misdadiger terechtstelling (was afschrikwekkend.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140802lingtopic,ANS,5.475,2.0,3.475,2.99035605788231,0.317914894823399,0.760502019410746,0.706833342272895,1.26263372296085,0.847569021241789,0.266607690468811,1.26010474958619,1.4239642142118,2.86694789061753,1.87359110694379,0.893002008360822
7,2,naamwoordelijke_constituent,2. Nominalizations,Nominalisaties behorend tot type 1,De schenking van kadobonnen aan de jarige (was een goed idee.),De jarige schenking van kadobonnen (was een goed idee.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140802lingtopic,ANS,4.8875,1.75,3.1375,0.605791584056403,0.0914604982214149,0.712895343652028,0.346159803844586,0.535061792837273,0.383691358571973,-0.14764959671918,0.847417688454684,0.552558004212026,1.17413861635658,0.623012464595776,0.386839426237963
8,2,naamwoordelijke_constituent,2. Nominalizations,Nominalisaties behorend tot type 1,De verstrekking van kortingsbonnen in een supermarkt (werd gewaardeerd.),De in een supermarkt verstrekking van kortingsbonnen (werd gewaardeerd.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140802lingtopic,ANS,4.725,3.375,1.3499999999999996,0.769581349179913,0.414002473000437,0.523239177024073,0.158841418975499,0.206681131465908,0.0053926756881992,0.0162046296255927,0.585942375931154,0.691547504456883,0.900428183486357,0.463382866765771,0.0957139354122774
9,2,naamwoordelijke_constituent,2. Nominalizations,Nominalisaties behorend tot type 2,Het pannenkoeken bakken (is voor Anneke niet moeilijk.),Het een pannenkoek bakken (is voor Anneke niet moeilijk.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140803lingtopic,ANS,4.75,1.2,3.55,-0.161519204245673,0.169930938315137,0.16984489934617,0.185020265305814,0.0318183768099907,0.193507915994615,0.298944785044743,-0.425112589042898,0.504850438690221,1.25680756221215,-0.394633759001288,0.193945313983186
10,2,naamwoordelijke_constituent,2. Nominalizations,Nominalisaties behorend tot type 2,Het bakken van pannenkoeken (is voor Anneke niet moeilijk.),Het van pannenkoeken bakken (is voor Anneke niet moeilijk.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140803lingtopic,ANS,5.8125,1.3,4.5125,1.38782439165645,0.688137556579252,0.444022607519047,0.588660329800942,0.461102094999418,0.577255163437873,-0.0974911970969963,1.67851258332819,0.481835940444642,0.56388202531889,0.964197671413421,0.604697924596258
11,2,naamwoordelijke_constituent,2. Nominalizations,Nominalisaties behorend tot type 2,Het voor grootmoeder thee inschenken (is een hele opgave.),Het grootmoeder inschenken van thee (is een hele opgave.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140803lingtopic,ANS,2.8125,1.5,1.3125,0.199968433380127,-0.0098623685900953,-0.281912901826823,0.0541250054258851,-0.0297311792906845,-0.032305977701617,-0.133064201899938,-0.410637028609926,0.261995121420018,-0.613271444104612,0.408946280678114,-0.0580799692310392
12,1,naamwoordelijke_constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De Toren van Pisa helt over.,Er helt een Toren van Pisa over.,,,Chat-GPT,5.9375,2.5,3.4375,0.306677697226405,0.500030606172301,1.84950495457107,0.165891523269767,-0.0467672561379997,0.735384371656585,-0.0478888063719776,-0.319487237893609,0.252810512975239,0.0765070237326793,0.138640759719743,0.861350778388706
13,1,naamwoordelijke_constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De Taj Mahal staat in India.,Er staat een Taj Mahal in India.,,,Chat-GPT,6.675,3.375,3.3,0.110853660563913,0.237729943709241,0.0894633891888796,0.401000128613992,-0.26990966248478,0.120165199326584,0.116364616336243,-0.597764194408558,-0.262071560165431,0.0014118278984716,-0.249325984054142,0.222982203501225
14,1,naamwoordelijke_constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,Het continent van Europa is klein.,Een continent van Europa is klein.,,,Manual,3.5,2.0,1.5,0.819670677185059,1.13643632616316,1.22345541204725,0.460548505187035,0.0127489227387638,0.0667308295766516,0.449171913994684,1.87676685386234,1.78900258897435,2.0105589899338,0.820053378740946,0.101662322878838
15,2,naamwoordelijke_constituent,2. Nominalizations,Nominalisaties behorend tot type 3,Mosselen eten (is in de mode.),Van mosselen eten (is in de mode.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140804lingtopic,ANS,5.075,,,0.460365056991577,0.356862638710123,0.580027209989952,0.225357791070234,0.576859078581699,0.451412886352927,-0.0649228493372593,0.588102379385548,-1.63101554072211,-1.3308159209167,-0.0465206305185948,0.421184201922381
16,2,naamwoordelijke_constituent,2. Nominalizations,Nominalisaties behorend tot type 3,Cognac aanbieden aan tante Fien (vindt pa doodzonde.),Cognac aanbieden tante Fien (vindt pa doodzonde.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140804lingtopic,ANS,5.1625,1.125,4.0375,1.33510519266128,0.277131169308702,0.0574457611227448,0.475383860283044,0.463137086382179,0.292898234190597,-0.0005410173360047,0.983904064950712,1.89973550794811,1.64854450606638,0.756721836525005,0.297471099076349
17,2,naamwoordelijke_constituent,2. Nominalizations,Nominalisaties behorend tot type 3,Een nieuwe broek kopen voor Eric (is altijd leuk.),Een nieuwe broek kopen Eric (is altijd leuk.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140804lingtopic,ANS,5.3625,1.75,3.6125,0.895788590113322,0.791331948467719,0.501522172796485,0.118316439299972,0.161100485213586,0.19425717874722,0.17603607666798,0.998149610360132,1.13597795757343,1.24801225833349,0.819290648566352,0.243435617908046
18,3,advectivische_constituent,3. The Construction of the Adjective Constituent,De bouw van de adjectivische constituent,Een zeer hard gesteente.,Een zeer gesteente.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1502lingtopic,Manual/ANS,5.965909091,2.3,3.665909091000001,2.78843708833059,0.772600434720516,0.0266549621841738,0.250870718620718,-0.0208473927341402,0.839687150385645,-0.123894095420837,3.12985591164657,-0.0880074454487039,3.13420707115992,3.04114202658335,0.674126050331526
19,3,advectivische_constituent,3. The Construction of the Adjective Constituent,De bouw van de adjectivische constituent,Laura is heel getalenteerd.,Laura is heel.,,,Chat-GPT,6.846590909,2.0,4.846590909,0.509829024473826,2.30821973214754,1.75531195269691,1.97362782705782,2.84010046254876,2.48434183360013,0.886078095436096,0.351569959521294,3.22630703689841,3.49733932399088,1.45386897217638,2.44196120501793
20,3,advectivische_constituent,3. The Construction of the Adjective Constituent,De bouw van de adjectivische constituent,Hij is niet bepaald tuk op vergaderen.,Hij is niet bepaald tuk.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1502lingtopic,Manual/ANS,4.931818182000001,,,1.19829549392064,-0.0627141073085631,-0.330120337228259,0.53378302027427,0.985676811012949,0.552873382500062,0.27429835964935,2.19809638162454,-1.17606709065347,1.43264376322667,-0.415410588184993,0.508855393067712
21,3,advectivische_constituent,3. The Construction of the Adjective Constituent,De bouw van de adjectivische constituent,De boom is erg hoog.,Erg is de boom hoog.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1502lingtopic,Manual/ANS,5.7363636365,1.5,4.2363636365,1.3381763458252,0.467395437615258,0.6388340230499,1.62626219645608,1.69476827853214,2.02319135080324,-0.248824596405029,-0.67612928400437,1.76087201338468,3.09687156090513,1.21618809700012,1.94060405582422
22,3,advectivische_constituent,3. The Construction of the Adjective Constituent,De bouw van de adjectivische constituent,Wim is nogal eigenwijs.,Wim is nogal.,,,Manual,6.509090909,2.375,4.134090909,1.51011041800181,1.61835679494672,0.679808381530973,1.73408839494611,2.41473179412464,2.11653332319111,0.0313157354082385,2.01785084605217,2.21985875148814,4.06249902653508,1.28601100444794,2.05485484417942
23,3,advectivische_constituent,3. The Construction of the Adjective Constituent,De bouw van de adjectivische constituent,Nienke is zeer aantrekkelijk.,Nienke is zeer.,,,Manual,6.4272727275,2.375,4.0522727275,1.0207667350769,1.84109660339432,2.42579383726215,1.85827519035818,2.32057231473265,2.07879668208722,0.478399329715305,1.1826500693957,1.80126129861388,2.13151886231369,0.742501389980316,2.01096661784392
24,4,advectivische_constituent,4. Degree-Indicating or Reinforcing (Pre)Determinations,Graadaanduidende of versterkende (voor)bepalingen,De koffie is warm genoeg.,Warm genoege koffie.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans15030101lingtopic,ANS,6.6477272725,2.8,3.8477272725,2.22236523628235,1.91640790361077,1.8958382847098,1.70760670479051,2.15790734382604,2.33830363161881,-0.603320254219902,-0.458996234668625,2.36035873148012,3.54242646334959,2.88551265398661,2.27629730872545
25,4,advectivische_constituent,4. Degree-Indicating or Reinforcing (Pre)Determinations,Graadaanduidende of versterkende (voor)bepalingen,Dat klusje is makkelijk zat.,Een makkelijk zat klusje.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans15030101lingtopic,Manual/ANS,5.3977272725,3.8,1.5977272725000002,1.64428980350494,-0.245676213865066,-1.03072262696094,0.433515524452863,0.653393348589209,0.441769545781426,0.693367855889457,4.83572380883353,0.671948021075069,0.475950416112836,1.45633790890376,0.427027960288494
26,4,advectivische_constituent,4. Degree-Indicating or Reinforcing (Pre)Determinations,Graadaanduidende of versterkende (voor)bepalingen,Ik vind het een heel handig apparaat,Ik vind het een hele handig apparaat.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans15030101lingtopic,Manual/ANS,6.9545454545,2.7,4.2545454545,0.709189982641311,0.190201709215506,0.0152501215029939,0.347343749084617,0.61446673892519,0.440147862138334,-0.484808360205758,3.27035460636641,0.362539666094711,-0.5439777540043,0.875270517099471,0.415062778613531
27,4,advectivische_constituent,4. Degree-Indicating or Reinforcing (Pre)Determinations,Graadaanduidende of versterkende (voor)bepalingen,Die flats zijn geweldig hoog.,Die flats zijn geweldige hoog.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans15030101lingtopic,Manual/ANS,4.731818182,1.625,3.106818182,1.68930487632751,0.541646459657285,0.77149154080285,0.703140454739332,0.986035445472226,1.29815851561725,-0.401554849412706,1.17836796045303,0.808752920934543,1.46282537219425,1.66852502822876,1.21589639373124
28,4,advectivische_constituent,4. Degree-Indicating or Reinforcing (Pre)Determinations,Graadaanduidende of versterkende (voor)bepalingen,Mijn vrienden zijn geweldig mooi.,Mijn vrienden zijn geweldige mooi.,,,Manual,4.340909091,2.5,1.8409090910000003,1.60486521720886,0.60747758547465,0.937579705069463,0.81291756775075,1.1383969988868,0.956563419041534,-0.466165781021118,0.883880792392624,2.4475331007834,1.88492116890848,1.0154833316803,0.915080740116537
29,4,advectivische_constituent,4. Degree-Indicating or Reinforcing (Pre)Determinations,Graadaanduidende of versterkende (voor)bepalingen,De studenten zijn geweldig slim.,De studenten zijn geweldige slim.,,,Manual,5.081818182,2.25,2.831818182,2.17916865348816,1.19025249611586,0.995554007589817,0.882604575819439,1.17514879773888,1.11013057165676,-0.51518702507019,0.720236405730247,1.44810463120302,1.85429322253913,1.87296576499939,1.03700037300587
30,3,advectivische_constituent,3. The Construction of the Adjective Constituent,De bouw van de adjectivische constituent,Hij is niet dol op online les.,Hij is niet dol.,,,Manual,5.5375,2.272727273,3.2647727269999995,0.0166064756257196,0.088539469987154,0.49370476603508,0.914420717395842,1.45993018629961,1.16911612399854,0.411778054918562,2.61322873615956,-0.5472185181142,0.736882170303059,-0.608607204897063,1.10456696413457
31,3,advectivische_constituent,3. The Construction of the Adjective Constituent,De bouw van de adjectivische constituent,De reis is heel lang.,Heel is de reis lang.,,,Manual,6.2125,1.454545455,4.7579545450000005,1.04342091083527,0.796874538064003,0.423601925373077,1.02646017074585,0.60988349840045,0.917718712240458,-0.52557384967804,-0.404533570011457,3.215021789405,1.42100108636077,0.587406015396118,0.96493362262845
32,3,advectivische_constituent,3. The Construction of the Adjective Constituent,De bouw van de adjectivische constituent,De bank is een beetje zacht.,Een beetje is de bank zacht.,,,Manual,6.2,1.454545455,4.745454545,1.77039909362793,1.03218495254405,0.702220233250409,0.269539474132894,-0.143402566104156,0.256693826489605,0.0172513855828171,2.60043034060962,0.959654939631582,0.817050781417897,1.47870584328969,0.206277319467732
33,4,advectivische_constituent,4. Degree-Indicating or Reinforcing (Pre)Determinations,Graadaanduidende of versterkende (voor)bepalingen,De examens zijn makkelijk zat.,Een makkelijk zat examen.,,,Manual,4.9,3.363636364,1.5363636360000004,1.46261452436447,0.2173652364355,0.272818819361015,0.0628736500882292,0.661368890501432,0.27592233822427,0.807060326848712,3.18007991143635,1.61755252149121,4.35396990423933,1.68609253168106,0.303368918851695
34,4,advectivische_constituent,4. Degree-Indicating or Reinforcing (Pre)Determinations,Graadaanduidende of versterkende (voor)bepalingen,Binnekort krijgen we een nieuwe en heel handig systeem.,Binnekort krijgen we een nieuw en heel handige systeem.,,,Manual,2.275,2.636363636,-0.3613636360000001,0.186381925236095,-0.0347275831120508,-0.0709155346819212,0.343859491119848,0.248960283109351,0.131482082554354,-0.0417209352765759,-0.643548063933849,-0.269104972295463,-0.717689320258796,0.244773169358571,0.132899173875921
35,4,advectivische_constituent,4. Degree-Indicating or Reinforcing (Pre)Determinations,Graadaanduidende of versterkende (voor)bepalingen,Zijn ego is voldoende groot.,Zijn ego is groot voldoende.,,,Manual,3.325,1.545454545,1.7795454550000005,0.52173376083374,0.348571696911346,0.166514467701993,0.322073551625098,0.483123715784711,0.582448421331884,0.140983104705811,-0.899546715948317,0.668203303741393,0.898421459132805,-0.0280641078948971,0.553410233712798
36,5,advectivische_constituent,5. Subordinate Clauses,Bijzinnen,(We zijn niet) geneigd (om) dit zomaar voorbij te laten gaan.,(We zijn niet) geneigd dat we dit zomaar voorbij zouden laten gaan.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans150403lingtopic,ANS,5.0375,2.538461538,2.499038462,0.567843390114251,0.262052594808583,0.37491101422281,0.213454458141643,0.223622458068494,0.36727899464069,0.309149798224954,0.548822030989669,0.434293550838361,0.588352464007067,0.14858257444132,0.333018667534756
37,5,advectivische_constituent,5. Subordinate Clauses,Bijzinnen,(Jan is altijd) bereid (om) te helpen.,(Jan is altijd) bereid dat hij zou helpen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans150403lingtopic,ANS,6.5625,1.153846154,5.408653846,0.962659414248034,0.956907372488335,1.1315389339185,1.10859505459666,1.25059947002058,1.33079807830315,0.652065575777829,1.67419229665653,1.4501962272824,1.16300068741951,0.43276477727023,1.19195176255113
38,5,advectivische_constituent,5. Subordinate Clauses,Bijzinnen,(We zijn niet) bereid (om) te luisteren.,(We zijn niet) bereid dat we zouden luisteren.,,,Manual,6.175,1.461538462,4.713461538,1.27891239794818,0.707776898052543,0.622823630024989,0.837754965169976,0.809020556190565,0.836885105476055,0.440827432569568,1.48210583075744,0.559932883900114,0.998456662616713,0.479535736820915,0.768670129929281
39,5,advectivische_constituent,5. Subordinate Clauses,Bijzinnen,(Ze zijn niet) geneigd (om) te vechten.,(Ze zijn niet) geneigd dat ze zouden vechten.,,,Manual,4.831730769,1.8,3.031730769,1.09632729075172,0.692837254687523,0.591622456163169,0.661419640481472,0.452903091643627,0.794192347295272,0.398041945237379,1.25683693001546,0.433596972879433,1.00897977159584,0.517046760429036,0.677939891559072
40,5,advectivische_constituent,5. Subordinate Clauses,Bijzinnen,(We zijn niet) in staat (om) te begrijpen.,(We zijn niet) in staat dat we zouden begrijpen.,,,Manual,2.8221153845,1.4,1.4221153845,0.976348117445455,0.851694025464045,1.03443607423299,0.763235902728047,0.604307309602155,0.685551546958595,0.241020897456579,1.11120826010457,0.639864587549164,1.56439077645052,0.593237469593684,0.59749905623903
41,5,advectivische_constituent,5. Subordinate Clauses,Bijzinnen,(Peter is altijd) van plan (om) te slagen.,(Peter is altijd) van plan dat hij zou slagen.,,,Manual,4.5625,1.3,3.2625,0.472226199778643,0.453130117369749,0.59735131157296,0.621453773230314,0.791236521588871,0.360147469677031,0.47754781359718,0.652618649548065,0.670479533077196,0.625184560365354,0.0668897935838411,0.369330757297575
42,6,adpositie_constituent,6. Pronominal Adverbs,Voornaamwoordelijke bijwoorden,Je moet tenslotte ergens in geloven.,Ergens in moet je tenslotte geloven.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/topic-15741673051642495,Manual/ANS,6.7375,1.230769231,5.506730769,1.93822334210078,0.621990528947814,0.594070726927991,1.20064792125534,1.25875127381588,1.84447845656541,0.112567085689967,-0.207113893826802,0.461136812969926,1.47422275422141,0.821534469014122,1.76673029615025
43,6,adpositie_constituent,6. Pronominal Adverbs,Voornaamwoordelijke bijwoorden,Nergens wordt echt diep op ingegaan.,Nergens op wordt echt diep ingegaan.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/topic-15741673051642495,Manual/ANS,5.45,1.384615385,4.065384615,0.785819202661514,0.570407826953249,0.271318480327653,0.485962476894761,0.522527804222661,0.548599323497001,0.193529475818981,-0.16766899282282,0.410742334124568,0.0027284041512754,0.0712213069200516,0.532654350572277
44,6,adpositie_constituent,6. Pronominal Adverbs,Voornaamwoordelijke bijwoorden,Hij heeft overal een mening over.,Overal over heeft hij een mening.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/topic-15741673051642495,Manual/ANS,6.875,1.384615385,5.490384615,1.80922794217865,1.03694091240565,1.37376813756095,0.426042183612783,1.34563157157714,0.682684920443636,-0.251725811428493,2.58536438755691,0.851385001586297,1.08188124554646,1.13874073113714,0.645977018426897
45,6,adpositie_constituent,6. Pronominal Adverbs,Vijf typen voornaamwoordelijke bijwoorden,Eigenlijk lijkt het voorwerp op niets dat ik eerder heb gezien.,Eigenlijk lijkt het voorwerp nergens op dat ik eerder heb gezien.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/topic-16000874747697907,ANS,4.985576923,2.2,2.785576923,-0.251537115736441,-0.0587199038746933,0.0687475556346944,0.273133300202629,0.58344369531943,0.231932929860296,-0.121366432734897,-0.0105668171308935,0.0312668439728441,-0.143012863450817,-0.004393629052422,0.210301441731618
46,6,adpositie_constituent,6. Pronominal Adverbs,Vijf typen voornaamwoordelijke bijwoorden,Ik steun haar in alles wat ze doet.,Ik steun haar overal in wat ze doet.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/topic-16000874747697907,ANS,6.5576923075,3.4,3.1576923075,1.31061213463545,0.531096467867684,0.662493502243588,0.644368559435511,0.588133111625211,0.995294159423793,0.168844223022461,0.832528836178508,1.01451794606295,0.824864933500066,1.22226542979479,0.968852570369983
